Date,Ticker,Open,High,Low,Close,Volume
2023-01-03 00:00:00-05:00,JPM,129.0485982,130.4799269,127.7603966,128.934082,11054800
2023-01-04 00:00:00-05:00,JPM,129.7642535,131.3768714,129.3634832,130.1363983,11687600
2023-01-05 00:00:00-05:00,JPM,130.4055498,130.4536161,128.5214591,130.1075592,8381300
2023-01-06 00:00:00-05:00,JPM,130.8573223,133.0201737,129.2808445,132.5972137,10029100
2023-01-09 00:00:00-05:00,JPM,133.2316706,133.5008243,131.5782895,132.0493011,8482300
2023-01-10 00:00:00-05:00,JPM,132.4530201,133.3470063,131.9916159,133.2316589,9048700
2023-01-11 00:00:00-05:00,JPM,133.5200203,134.3371034,132.7510182,134.221756,8703700
2023-01-12 00:00:00-05:00,JPM,134.5774298,135.4041203,133.8276424,134.0871887,11001700
2023-01-13 00:00:00-05:00,JPM,130.3478749,137.9322747,129.578858,137.4708557,20200000
2023-01-17 00:00:00-05:00,JPM,135.7020997,136.0577639,133.8372389,135.3464355,14292900
2023-01-18 00:00:00-05:00,JPM,133.5392582,135.2791497,131.1264824,131.2802887,13392600
2023-01-19 00:00:00-05:00,JPM,130.0787064,130.6362286,128.4157033,129.530777,13303400
2023-01-20 00:00:00-05:00,JPM,129.9248951,130.2421151,128.3772541,129.8479919,13092500
2023-01-23 00:00:00-05:00,JPM,129.8864522,132.6164629,129.5980837,131.953186,10487100
2023-01-24 00:00:00-05:00,JPM,131.1360918,134.8561918,129.7710939,133.0874634,6945000
2023-01-25 00:00:00-05:00,JPM,132.7029731,133.7315216,131.9339562,133.7315216,8967000
2023-01-26 00:00:00-05:00,JPM,134.0198897,134.6351002,133.0009486,134.558197,7487600
2023-01-27 00:00:00-05:00,JPM,135.1638166,135.7886346,134.3371261,134.8850555,7489900
2023-01-30 00:00:00-05:00,JPM,133.8372373,134.6639277,133.5296394,133.7411194,6729300
2023-01-31 00:00:00-05:00,JPM,134.4620831,134.6447262,132.8952126,134.5389862,9188700
2023-02-01 00:00:00-05:00,JPM,132.8567649,135.4233469,132.7702397,134.1833038,8841800
2023-02-02 00:00:00-05:00,JPM,134.5774434,135.0196328,132.6549084,133.5585022,11822100
2023-02-03 00:00:00-05:00,JPM,132.8279369,136.8172059,132.7798853,135.6252289,11501200
2023-02-06 00:00:00-05:00,JPM,134.798521,136.7306778,134.6062704,136.4230652,8406200
2023-02-07 00:00:00-05:00,JPM,135.9039931,138.7493364,135.7117279,138.0860596,10447900
2023-02-08 00:00:00-05:00,JPM,137.1247807,138.4609418,136.7691165,137.1151733,6958000
2023-02-09 00:00:00-05:00,JPM,137.5765898,137.7880698,134.4524706,134.9811707,6443100
2023-02-10 00:00:00-05:00,JPM,134.3659417,135.8078426,133.2220312,135.5771332,6582900
